index,address,subway_station,subway_station.1,subway_station.2,police,police.1,police.2,primary_school,primary_school.1,primary_school.2,university,university.1,university.2,library,library.1,library.2,night_club,night_club.1,night_club.2,shopping_mall,shopping_mall.1,shopping_mall.2,supermarket,supermarket.1,supermarket.2,bus_station,bus_station.1,bus_station.2,park,park.1,park.2,church,church.1,church.2,hospital,hospital.1,hospital.2,latitude,longitude,Transaction Date,Total Cost(NTD),Cost per Sqaure Meter,Building Completion Date,Transacted Floor,Total Floor,Total Area Transacted (Sqaure Meter),Bed Rooms,Living/Dining Rooms,Bathrooms,Main construction Method,Type of Building,transaction year,time delta,time delta year,500_label,1km_label,3km_label,500_price_label,1km_price_label,3km_price_label,house_no_price_label,house_price_label
3648,成功路四段１６７巷１６號十二樓之７,1.0,2.0,7.0,2.0,4.0,13.0,1.0,3.0,17.0,1.0,9.0,32.0,0.0,1.0,12.0,2.0,5.0,6.0,0.0,1.0,12.0,4.0,9.0,45.0,6.0,11.0,42.0,7.0,31.0,60.0,8.0,17.0,56.0,5.0,13.0,60.0,25.0827698,121.5955485,2020-04-25,20000000,166861,1995-01-28,12,18.0,119.85,2,2,1,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,9219 days,25.0,2,0,1,3,3,3,2,1
3649,民權東路六段２９６巷５６號四樓,1.0,2.0,9.0,0.0,2.0,19.0,4.0,6.0,22.0,0.0,2.0,25.0,0.0,3.0,16.0,0.0,0.0,11.0,1.0,1.0,19.0,5.0,11.0,52.0,3.0,9.0,60.0,7.0,29.0,60.0,5.0,7.0,60.0,2.0,18.0,60.0,25.0708248,121.6081639,2020-07-17,13800000,127248,1989-04-17,4,5.0,108.45,3,2,2,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,11414 days,31.0,2,0,1,1,1,1,2,1
3650,內湖路三段６０巷３１號九樓,0.0,1.0,6.0,0.0,4.0,11.0,1.0,3.0,14.0,0.0,9.0,34.0,0.0,1.0,11.0,0.0,3.0,6.0,0.0,1.0,10.0,1.0,9.0,35.0,2.0,9.0,36.0,7.0,23.0,60.0,2.0,13.0,50.0,1.0,12.0,60.0,25.0884754,121.5932495,2020-06-25,33850000,181346,2017-04-07,9,19.0,186.66,3,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,1175 days,3.0,2,0,1,3,3,3,0,0
3651,民生東路一段７０巷７號二樓之１,0.0,6.0,6.0,2.0,8.0,15.0,1.0,7.0,12.0,3.0,9.0,28.0,2.0,12.0,21.0,39.0,60.0,60.0,9.0,27.0,38.0,5.0,21.0,30.0,2.0,26.0,51.0,9.0,44.0,60.0,12.0,43.0,60.0,18.0,56.0,60.0,25.0574185,121.5265114,2020-07-16,7050000,209385,2007-09-12,2,7.0,33.67,0,0,0,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,4691 days,12.0,3,3,3,3,3,3,2,0
3653,明水路５６９號十三樓,1.0,2.0,9.0,0.0,1.0,18.0,1.0,4.0,22.0,0.0,11.0,60.0,1.0,3.0,27.0,0.0,1.0,14.0,2.0,11.0,44.0,6.0,11.0,60.0,2.0,11.0,60.0,12.0,29.0,60.0,4.0,12.0,60.0,2.0,6.0,60.0,25.0796834,121.5513674,2020-07-03,55698000,204059,1995-02-23,13,16.0,272.95,4,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,9262 days,25.0,2,0,1,3,3,3,0,0
3654,西園路一段１１５號四樓之２,1.0,2.0,3.0,6.0,11.0,17.0,2.0,7.0,10.0,0.0,9.0,12.0,2.0,8.0,16.0,6.0,18.0,29.0,5.0,19.0,26.0,8.0,20.0,29.0,7.0,27.0,36.0,14.0,34.0,60.0,7.0,14.0,23.0,15.0,38.0,44.0,25.0381461,121.4998451,2020-07-01,23100000,140097,2019-05-28,4,12.0,188.49,3,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,400 days,1.0,0,2,2,1,1,1,0,1
3655,民和街８１巷１１號二樓,0.0,0.0,1.0,2.0,4.0,7.0,6.0,10.0,12.0,1.0,2.0,2.0,2.0,6.0,8.0,1.0,5.0,7.0,0.0,1.0,5.0,5.0,19.0,26.0,0.0,8.0,17.0,7.0,29.0,60.0,9.0,21.0,30.0,7.0,9.0,18.0,25.0251009,121.4981852,2020-06-06,21400000,169907,2018-11-05,2,13.0,148.8,2,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,579 days,1.0,2,0,2,3,3,3,0,1
3656,華亭街３６號三樓之１,0.0,5.0,7.0,4.0,21.0,31.0,3.0,7.0,10.0,1.0,19.0,26.0,4.0,19.0,30.0,5.0,12.0,60.0,18.0,52.0,60.0,11.0,14.0,19.0,4.0,33.0,51.0,6.0,29.0,48.0,8.0,30.0,60.0,16.0,35.0,60.0,25.0534926,121.5130554,2020-07-05,6180000,215331,2010-11-01,3,11.0,28.69,0,1,1,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,3534 days,9.0,1,1,3,0,0,0,2,0
3658,木新路三段８７號三樓,0.0,0.0,9.0,1.0,2.0,18.0,1.0,4.0,33.0,0.0,5.0,49.0,0.0,7.0,38.0,0.0,1.0,9.0,0.0,0.0,5.0,4.0,12.0,60.0,0.0,3.0,60.0,7.0,31.0,60.0,5.0,17.0,60.0,3.0,5.0,60.0,24.982082,121.5631928,2020-07-06,38600000,157466,2013-09-10,3,15.0,312.49,3,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,2491 days,6.0,2,0,1,3,3,3,1,1
3659,興隆路二段６１巷６號四樓,0.0,2.0,10.0,1.0,8.0,23.0,4.0,10.0,38.0,3.0,13.0,60.0,0.0,3.0,44.0,1.0,3.0,12.0,0.0,1.0,14.0,4.0,16.0,60.0,0.0,11.0,60.0,14.0,34.0,60.0,11.0,28.0,60.0,1.0,9.0,60.0,24.9991862,121.5457453,2020-11-28,26000000,148852,2009-05-05,4,11.0,174.67,2,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,4225 days,11.0,2,0,1,3,3,3,0,1
