,latitude,longitude,police_500,police_1000,police_3000,hospital_500,hospital_1000,hospital_3000,shopping_mall_500,shopping_mall_1000,shopping_mall_3000,library_500,library_1000,library_3000,bus_station_500,bus_station_1000,bus_station_3000,university_500,university_1000,university_3000,primary_school_500,primary_school_1000,primary_school_3000,church_500,church_1000,church_3000,night_club_500,night_club_1000,night_club_3000,supermarket_500,supermarket_1000,supermarket_3000,subway_station_500,subway_station_1000,subway_station_3000,park_500,park_1000,park_3000
臺北市士林區華齡街１８５巷１號１０樓之１,25.0874563,121.5193663,2,5,18,3,9,60.0,2,10,26.0,1,4,20,2,8.0,46.0,2,10,31.0,1,3,19,7,13.0,60.0,2,7,21,3,9,47.0,0,2,5,4,26,60
臺北市大安區復興南路一段７６號８樓之５,25.0440031,121.5435872,0,4,10,19,60,60.0,18,30,48.0,4,11,19,6,29.0,55.0,3,19,30.0,1,7,13,10,50.0,60.0,8,34,44,11,18,30.0,1,3,6,12,28,60
臺北市大安區金華街７０號６樓,25.030388,121.524319,0,5,14,7,34,48.0,3,13,15.0,3,24,38,6,26.0,39.0,9,24,35.0,2,9,16,21,56.0,60.0,0,1,5,5,22,28.0,1,3,5,7,40,60
臺北市大安區瑞安街２３巷２４弄２號３樓,25.0307727,121.5449879,1,4,31,12,56,60.0,1,7,60.0,2,12,60,8,28.0,60.0,5,23,60.0,4,11,43,9,43.0,60.0,1,8,60,5,22,60.0,1,3,19,12,40,60
臺北市內湖區內湖路一段４０７號７樓,25.0817383,121.5707796,2,3,14,4,9,59.0,1,3,33.0,0,3,19,5,10.0,52.0,2,10,49.0,3,4,20,5,16.0,60.0,0,0,8,6,13,57.0,2,2,7,9,37,60
臺北市內湖區金龍路２２２巷８號６樓之３,25.087844,121.585984,0,1,10,0,12,60.0,0,1,18.0,1,2,12,0,7.0,40.0,0,9,34.0,0,1,14,4,10.0,53.0,1,2,7,1,8,40.0,0,1,6,5,19,60
臺北市內湖區星雲街１６１巷２號３樓之１,25.0816332,121.5962395,2,4,19,4,13,60.0,0,1,12.0,0,0,11,5,11.0,40.0,1,8,32.0,1,3,18,6,17.0,57.0,2,5,6,3,9,52.0,1,2,7,8,29,60
臺北市中山區龍江路２２３巷６號５樓,25.0567799,121.5411152,0,4,8,8,42,60.0,0,19,30.0,1,9,21,2,41.0,58.0,22,29,34.0,0,5,12,9,40.0,60.0,4,23,27,3,16,41.0,0,4,6,19,50,60
臺北市內湖區東湖路１１３巷１５號５樓,25.069379,121.6154239,3,5,19,3,17,60.0,1,2,19.0,1,3,17,5,11.0,52.0,0,1,16.0,4,5,20,4,10.0,60.0,0,0,9,9,15,55.0,1,2,7,9,34,60
臺北市北投區義理街６３巷１７之７號,25.1174947,121.5152854,3,7,12,7,60,60.0,1,2,13.0,6,11,24,6,11.0,43.0,9,25,35.0,4,5,23,7,20.0,60.0,3,4,11,4,16,58.0,1,3,7,5,24,60
臺北市士林區文林路７６５號九樓之３,25.1036402,121.5196567,0,2,15,2,25,60.0,2,5,24.0,0,2,29,7,15.0,46.0,1,2,50.0,1,4,24,3,21.0,60.0,1,3,17,2,10,60.0,1,2,6,9,27,60
臺北市文山區木新路二段６６巷１２號４樓,24.9858751,121.5703165,1,3,9,0,6,26.0,0,0,2.0,3,14,26,0,3.0,34.0,9,19,35.0,1,5,17,10,22.0,50.0,1,1,3,6,11,25.0,0,0,5,7,24,60
臺北市中正區南昌路一段１０８巷１１號３樓之１,25.029829,121.5169723,8,11,13,14,24,52.0,1,3,9.0,10,23,36,9,20.0,33.0,3,10,30.0,2,8,12,17,43.0,60.0,1,3,3,3,14,26.0,1,3,5,7,53,60
臺北市大安區光復南路430號十二樓,25.036182,121.5573667,0,4,10,27,60,60.0,1,31,55.0,3,12,18,8,32.0,49.0,2,11,28.0,1,7,9,10,42.0,60.0,3,30,45,9,22,41.0,0,4,5,9,33,53
臺北市大安區溫州街１８巷９之１號四樓,25.0248377,121.5322822,1,1,4,6,23,37.0,1,11,20.0,4,20,35,6,21.0,36.0,7,41,60.0,3,13,17,14,60.0,60.0,1,4,4,3,14,31.0,0,2,6,20,56,60
臺北市大安區忠孝東路四段１４８號十一樓之９,25.0413357,121.5497336,0,4,10,42,60,60.0,19,27,42.0,1,11,24,9,29.0,51.0,3,8,18.0,2,9,13,17,53.0,60.0,18,32,43,6,25,37.0,1,4,6,3,31,53
臺北市北投區東華街二段３００巷２３號四樓,25.121556,121.506461,0,0,11,0,2,60.0,1,2,9.0,1,5,17,4,11.0,33.0,1,21,31.0,1,5,19,3,11.0,60.0,0,1,11,2,12,54.0,1,2,7,17,33,60
